year,state_abbreviation,net_generation_mwh,co2e_kg_per_mwh,source_file,source_field,technology,use_phase_kgco2e_per_vcore_year,embodied_kgco2e_per_vcore_year,total_kgco2e_per_vcore_year,embodied_share_pct,regret_vs_lowest_pct
2012,AK,6928294.496,494.3179380358594,eGRID2012_Data.xlsx,ST12!STC2ERTA converted from lb/MWh,Air-cooled,46.9250233730274,3.5104211643502636,50.43544453737766,6.960226476736402,26.081328907924938
2012,AK,6928294.496,494.3179380358594,eGRID2012_Data.xlsx,ST12!STC2ERTA converted from lb/MWh,Cold plate,39.845465498922835,2.9474308328855217,42.79289633180836,6.887663807636851,6.976061910883891
2012,AK,6928294.496,494.3179380358594,eGRID2012_Data.xlsx,ST12!STC2ERTA converted from lb/MWh,One-phase,39.06090878402991,3.049789121460012,42.11069790548992,7.2423143598919415,5.2706643485529
2012,AK,6928294.496,494.3179380358594,eGRID2012_Data.xlsx,ST12!STC2ERTA converted from lb/MWh,Two-phase,37.1829804771054,2.819329915902762,40.002310393008166,7.047917703262311,0.0
2012,AL,153105216.953,454.5841777966787,eGRID2012_Data.xlsx,ST12!STC2ERTA converted from lb/MWh,Air-cooled,43.18533864171342,3.5104211643502636,46.695759806063684,7.517644383408057,26.07181271929275
2012,AL,153105216.953,454.5841777966787,eGRID2012_Data.xlsx,ST12!STC2ERTA converted from lb/MWh,Cold plate,36.66998537707231,2.9474308328855217,39.61741620995783,7.43973513382401,6.961306499514253
2012,AL,153105216.953,454.5841777966787,eGRID2012_Data.xlsx,ST12!STC2ERTA converted from lb/MWh,One-phase,35.94795382586895,3.049789121460012,38.99774294732896,7.820424698883499,5.288278116685463
2012,AL,153105216.953,454.5841777966787,eGRID2012_Data.xlsx,ST12!STC2ERTA converted from lb/MWh,Two-phase,34.21968681500987,2.819329915902762,37.039016730912635,7.611783909883759,0.0
2012,AR,65005677.87300001,561.4238710069459,eGRID2012_Data.xlsx,ST12!STC2ERTA converted from lb/MWh,Air-cooled,53.24093788506721,3.5104211643502636,56.751359049417474,6.185616033077707,26.09455537366754
2012,AR,65005677.87300001,561.4238710069459,eGRID2012_Data.xlsx,ST12!STC2ERTA converted from lb/MWh,Cold plate,45.20850073458098,2.9474308328855217,48.1559315674665,6.12059768536752,6.996570325601348
2012,AR,65005677.87300001,561.4238710069459,eGRID2012_Data.xlsx,ST12!STC2ERTA converted from lb/MWh,One-phase,44.318345923300996,3.049789121460012,47.368135044761004,6.438482576056841,5.246183129252957
2012,AR,65005677.87300001,561.4238710069459,eGRID2012_Data.xlsx,ST12!STC2ERTA converted from lb/MWh,Two-phase,42.18765621545,2.819329915902762,45.00698613135276,6.2642050895711066,0.0
