year,state_abbreviation,net_generation_mwh,co2e_kg_per_mwh,source_file,source_field,lowest_ghg_technology,second_lowest_technology,margin_to_second_pct,cold_plate_use_multiplier_to_equal_one_phase,cold_plate_use_change_to_equal_one_phase_pct,one_phase_use_multiplier_to_equal_cold_plate,two_phase_use_increase_tolerated_before_losing_pct,two_phase_vs_air_reduction_pct
2012,AK,6928294.496,494.3179380358594,eGRID2012_Data.xlsx,ST12!STC2ERTA converted from lb/MWh,Two-phase,One-phase,5.2706643485529,0.9828788943038731,-1.7121105696126904,1.0174649911524167,5.67030261003405,20.6861151717172
2012,AL,153105216.953,454.5841777966787,eGRID2012_Data.xlsx,ST12!STC2ERTA converted from lb/MWh,Two-phase,One-phase,5.288278116685463,0.983101349611764,-1.6898650388236014,1.0172380677250938,5.723974702062917,20.68012837837381
2012,AR,65005677.87300001,561.4238710069459,eGRID2012_Data.xlsx,ST12!STC2ERTA converted from lb/MWh,Two-phase,One-phase,5.246183129252957,0.9825741506596148,-1.7425849340385158,1.0177758557160252,5.596776700156059,20.694434661622896
2012,AZ,110614113.36099999,482.790167687186,eGRID2012_Data.xlsx,ST12!STC2ERTA converted from lb/MWh,Two-phase,One-phase,5.275499920871574,0.9829396965615663,-1.7060303438433677,1.0174029676527954,5.684972452715775,20.68447168539653
2012,CA,199189655.76309997,261.2998055293646,eGRID2012_Data.xlsx,ST12!STC2ERTA converted from lb/MWh,Two-phase,One-phase,5.4397747132354235,0.9851330233657279,-1.4866976634272056,1.015165586848721,6.214159367600147,20.628598431421928
2012,CO,52547910.61299999,760.6469914145814,eGRID2012_Data.xlsx,ST12!STC2ERTA converted from lb/MWh,Two-phase,One-phase,5.197617900315077,0.9819844432964311,-1.8015556703568913,1.0183774076288115,5.454497209650722,20.710933492762507
2012,CT,35557337.401,239.68896895265962,eGRID2012_Data.xlsx,ST12!STC2ERTA converted from lb/MWh,Two-phase,One-phase,5.469632762675336,0.9855602897881997,-1.443971021180035,1.0147297385793024,6.317246513351749,20.618434636162686
2012,DC,71786.78,559.8332523955094,eGRID2012_Data.xlsx,ST12!STC2ERTA converted from lb/MWh,Two-phase,One-phase,5.246700247096703,0.982580535080344,-1.7419464919655958,1.0177693430612047,5.598317077952308,20.694258946725206
2012,DE,8633823.2578,571.4295315872655,eGRID2012_Data.xlsx,ST12!STC2ERTA converted from lb/MWh,Two-phase,One-phase,5.24299172709608,0.982534798940559,-1.746520105944105,1.0178159978328571,5.5872822578490355,20.695519072071868
2012,FL,221099929.55259997,517.6417385146392,eGRID2012_Data.xlsx,ST12!STC2ERTA converted from lb/MWh,Two-phase,One-phase,5.261489888494708,0.9827640899402897,-1.7235910059710258,1.0175821014156106,5.642603606463403,20.689233146890473
2012,GA,122014744.25300002,492.1877319826492,eGRID2012_Data.xlsx,ST12!STC2ERTA converted from lb/MWh,Two-phase,One-phase,5.271542191489309,0.9828899172096484,-1.7110082790351644,1.0174537468463973,5.672962121370495,20.685816820602774
2012,HI,10469268.697999999,670.6966419750073,eGRID2012_Data.xlsx,ST12!STC2ERTA converted from lb/MWh,Two-phase,One-phase,5.216183664706531,0.9822075933696823,-1.779240663031767,1.0181497754814395,5.508336928654778,20.70462704572531
2012,IA,56602145.65100001,639.7195546818368,eGRID2012_Data.xlsx,ST12!STC2ERTA converted from lb/MWh,Two-phase,One-phase,5.22371138949842,0.982298872561236,-1.7701127438763953,1.0180566629044143,5.530359982255262,20.702069730887086
2012,ID,15499089.316,52.13348084501698,eGRID2012_Data.xlsx,ST12!STC2ERTA converted from lb/MWh,Two-phase,Cold plate,6.110249948379365,1.0030232332857614,0.3023233285761373,0.9969160436525158,10.206583261108438,20.333288494021552
