year,state_abbreviation,net_generation_mwh,co2e_kg_per_mwh,source_file,source_field
2014,CA,197243679.949,251.92520229800002,eGRID2014_Data_v2.xlsx,ST14!STC2ERTA converted from lb/MWh
2014,CO,53847380.231,722.68558991013,eGRID2014_Data_v2.xlsx,ST14!STC2ERTA converted from lb/MWh
2014,CT,33651815.798,244.1506290762,eGRID2014_Data_v2.xlsx,ST14!STC2ERTA converted from lb/MWh
2014,DC,67612.0,537.8516886512,eGRID2014_Data_v2.xlsx,ST14!STC2ERTA converted from lb/MWh
2014,DE,7598247.016,474.42269240751,eGRID2014_Data_v2.xlsx,ST14!STC2ERTA converted from lb/MWh
2014,FL,229963756.27,498.69079138725,eGRID2014_Data_v2.xlsx,ST14!STC2ERTA converted from lb/MWh
2014,GA,125805607.875,501.55704157328,eGRID2014_Data_v2.xlsx,ST14!STC2ERTA converted from lb/MWh
2014,HI,10204158.502,607.2962269058299,eGRID2014_Data_v2.xlsx,ST14!STC2ERTA converted from lb/MWh
2014,IA,56846167.863,611.8339649753101,eGRID2014_Data_v2.xlsx,ST14!STC2ERTA converted from lb/MWh
2014,ID,15102586.656,66.88763806493999,eGRID2014_Data_v2.xlsx,ST14!STC2ERTA converted from lb/MWh
2014,IL,202134056.529,452.11320528143006,eGRID2014_Data_v2.xlsx,ST14!STC2ERTA converted from lb/MWh
2014,IN,115023340.266,899.4147027019,eGRID2014_Data_v2.xlsx,ST14!STC2ERTA converted from lb/MWh
2014,KS,49727761.916,643.6570984697701,eGRID2014_Data_v2.xlsx,ST14!STC2ERTA converted from lb/MWh
2014,KY,90896434.998,945.41305135123,eGRID2014_Data_v2.xlsx,ST14!STC2ERTA converted from lb/MWh
2014,LA,103522968.665,444.35405420021004,eGRID2014_Data_v2.xlsx,ST14!STC2ERTA converted from lb/MWh
2014,MA,31014178.671,406.21600773061004,eGRID2014_Data_v2.xlsx,ST14!STC2ERTA converted from lb/MWh
2014,MD,37819444.988,530.55384101027,eGRID2014_Data_v2.xlsx,ST14!STC2ERTA converted from lb/MWh
2014,ME,13245795.392,161.61450783863,eGRID2014_Data_v2.xlsx,ST14!STC2ERTA converted from lb/MWh
2014,MI,106747581.842,581.68594810326,eGRID2014_Data_v2.xlsx,ST14!STC2ERTA converted from lb/MWh
2014,MN,56981323.968,548.82227371202,eGRID2014_Data_v2.xlsx,ST14!STC2ERTA converted from lb/MWh
2014,MO,87833977.052,797.34235808843,eGRID2014_Data_v2.xlsx,ST14!STC2ERTA converted from lb/MWh
2014,MS,55127091.661,449.66698163002,eGRID2014_Data_v2.xlsx,ST14!STC2ERTA converted from lb/MWh
2014,MT,30257616.001,590.77866075228,eGRID2014_Data_v2.xlsx,ST14!STC2ERTA converted from lb/MWh
2014,NC,126271599.062,447.50742835645,eGRID2014_Data_v2.xlsx,ST14!STC2ERTA converted from lb/MWh
2014,ND,36462507.669,826.5868189594399,eGRID2014_Data_v2.xlsx,ST14!STC2ERTA converted from lb/MWh
2014,NE,39431137.998,636.7393612349,eGRID2014_Data_v2.xlsx,ST14!STC2ERTA converted from lb/MWh
2014,NH,19538394.984,174.42350277506,eGRID2014_Data_v2.xlsx,ST14!STC2ERTA converted from lb/MWh
2014,NJ,66819245.204,252.4513694472,eGRID2014_Data_v2.xlsx,ST14!STC2ERTA converted from lb/MWh
2014,NM,32305545.001,767.7010038936701,eGRID2014_Data_v2.xlsx,ST14!STC2ERTA converted from lb/MWh
2014,NV,35801018.998,439.28016994939003,eGRID2014_Data_v2.xlsx,ST14!STC2ERTA converted from lb/MWh
2014,NY,133648655.493,237.61028069317,eGRID2014_Data_v2.xlsx,ST14!STC2ERTA converted from lb/MWh
2014,OH,134484232.266,730.43476195921,eGRID2014_Data_v2.xlsx,ST14!STC2ERTA converted from lb/MWh
2014,OK,70003762.499,618.21646321358,eGRID2014_Data_v2.xlsx,ST14!STC2ERTA converted from lb/MWh
2014,OR,60110811.966,141.43282252022,eGRID2014_Data_v2.xlsx,ST14!STC2ERTA converted from lb/MWh
2014,PA,221043691.598,451.56980162217,eGRID2014_Data_v2.xlsx,ST14!STC2ERTA converted from lb/MWh
2014,RI,6239678.499,405.35917174368,eGRID2014_Data_v2.xlsx,ST14!STC2ERTA converted from lb/MWh
2014,SC,97158465.241,334.65047155386003,eGRID2014_Data_v2.xlsx,ST14!STC2ERTA converted from lb/MWh
2014,SD,10995239.493,282.49052415044997,eGRID2014_Data_v2.xlsx,ST14!STC2ERTA converted from lb/MWh
2014,TN,79506885.795,486.66696484329,eGRID2014_Data_v2.xlsx,ST14!STC2ERTA converted from lb/MWh
2014,TX,438052226.109,539.97359375806,eGRID2014_Data_v2.xlsx,ST14!STC2ERTA converted from lb/MWh
2014,UT,43784525.997,809.13485252369,eGRID2014_Data_v2.xlsx,ST14!STC2ERTA converted from lb/MWh
2014,VA,77345531.756,400.80102201755,eGRID2014_Data_v2.xlsx,ST14!STC2ERTA converted from lb/MWh
2014,VT,7024733.008,10.418563146530001,eGRID2014_Data_v2.xlsx,ST14!STC2ERTA converted from lb/MWh
2014,WA,116272503.358,102.43794006369,eGRID2014_Data_v2.xlsx,ST14!STC2ERTA converted from lb/MWh
2014,WI,61008457.569,691.955160435,eGRID2014_Data_v2.xlsx,ST14!STC2ERTA converted from lb/MWh
2014,WV,80357567.778,903.2575372605401,eGRID2014_Data_v2.xlsx,ST14!STC2ERTA converted from lb/MWh
2014,WY,49696183.631,912.96486757091,eGRID2014_Data_v2.xlsx,ST14!STC2ERTA converted from lb/MWh
2016,AK,6335033.511,421.84680080081006,egrid2016_data.xlsx,ST16!STC2ERTA converted from lb/MWh
2016,AL,142863240.209,416.15648451916,egrid2016_data.xlsx,ST16!STC2ERTA converted from lb/MWh
2016,AR,60445059.072,509.19961941541004,egrid2016_data.xlsx,ST16!STC2ERTA converted from lb/MWh
2016,AZ,108734630.779,425.04870934064,egrid2016_data.xlsx,ST16!STC2ERTA converted from lb/MWh
2016,CA,197323836.964,205.95769792983003,egrid2016_data.xlsx,ST16!STC2ERTA converted from lb/MWh
2016,CO,54418479.931,670.38457527965,egrid2016_data.xlsx,ST16!STC2ERTA converted from lb/MWh
2016,CT,36496559.656,227.76460470995002,egrid2016_data.xlsx,ST16!STC2ERTA converted from lb/MWh
2016,DC,76473.999,219.10416558954,egrid2016_data.xlsx,ST16!STC2ERTA converted from lb/MWh
2016,DE,8731261.003,403.39647755869004,egrid2016_data.xlsx,ST16!STC2ERTA converted from lb/MWh
2016,FL,238226428.16,466.7315801817901,egrid2016_data.xlsx,ST16!STC2ERTA converted from lb/MWh
2016,GA,132902274.317,456.97072597176003,egrid2016_data.xlsx,ST16!STC2ERTA converted from lb/MWh
