lever,indicator,unit,baseline,baseline_value,alternative,alternative_value,reduction_pct,baseline_uuid,alternative_uuid,source,propagation_limit
Steel route,gwp_total_kgco2e,kg CO2e per kg,"Galvanized steel profile (blast furnace route, low scrap content), Steel sections",2.92189441330103,"Galvanized steel profile (electric arc furnace route, high scrap content)",1.17194173644867,59.89103058913546,755a481d-a74b-4ba0-b417-cc26767b2d50,42de525f-7c48-4722-b503-6f423b39b4f4,"ÖKOBAUDAT 2024-II, modules A1-A3",Unit-process comparison only; a disclosed bill of materials is required for facility-level propagation.
Steel route,nonrenewable_primary_energy_mj,MJ per kg,"Galvanized steel profile (blast furnace route, low scrap content), Steel sections",27.9183661002242,"Galvanized steel profile (electric arc furnace route, high scrap content)",14.5445623030148,47.90324673442119,755a481d-a74b-4ba0-b417-cc26767b2d50,42de525f-7c48-4722-b503-6f423b39b4f4,"ÖKOBAUDAT 2024-II, modules A1-A3",Unit-process comparison only; a disclosed bill of materials is required for facility-level propagation.
Steel route,freshwater_m3,m3 per kg,"Galvanized steel profile (blast furnace route, low scrap content), Steel sections",0.00625261425086676,"Galvanized steel profile (electric arc furnace route, high scrap content)",0.00299963787056284,52.02586070063382,755a481d-a74b-4ba0-b417-cc26767b2d50,42de525f-7c48-4722-b503-6f423b39b4f4,"ÖKOBAUDAT 2024-II, modules A1-A3",Unit-process comparison only; a disclosed bill of materials is required for facility-level propagation.
Cement chemistry,gwp_total_kgco2e,kg CO2e per kg,Cement (CEM II/A),0.894975353236286,"Cement (CEM III 42,5)",0.448996148211242,49.83145104637303,aaaedf41-a759-4756-bd55-cd2af3af17f4,8f4e4fdb-fa6c-46b3-8680-57120c4bee5e,"ÖKOBAUDAT 2024-II, modules A1-A3",Unit-process comparison only; a disclosed bill of materials is required for facility-level propagation.
Cement chemistry,nonrenewable_primary_energy_mj,MJ per kg,Cement (CEM II/A),2.42300532960591,"Cement (CEM III 42,5)",2.12871338617216,12.145740656774173,aaaedf41-a759-4756-bd55-cd2af3af17f4,8f4e4fdb-fa6c-46b3-8680-57120c4bee5e,"ÖKOBAUDAT 2024-II, modules A1-A3",Unit-process comparison only; a disclosed bill of materials is required for facility-level propagation.
Cement chemistry,freshwater_m3,m3 per kg,Cement (CEM II/A),0.000593763310607717,"Cement (CEM III 42,5)",0.000454157321660014,23.512060522031287,aaaedf41-a759-4756-bd55-cd2af3af17f4,8f4e4fdb-fa6c-46b3-8680-57120c4bee5e,"ÖKOBAUDAT 2024-II, modules A1-A3",Unit-process comparison only; a disclosed bill of materials is required for facility-level propagation.
