technology,mean_pue,minimum_pue,maximum_pue,facility_mwh_per_it_mwh,operational_kgco2e_per_it_mwh,reduction_vs_air_pct
Air-cooled,1.0907321250000002,1.08,1.1300000000000001,1.0907321250000002,493.9714087382467,0.0
Cold plate,1.0528977992009132,1.05,1.0725,1.0528977992009132,476.83697693297023,3.4687092212569604
One-phase,1.040616401826484,1.04,1.05,1.040616401826484,471.27497043910176,4.594686635228252
Two-phase,1.035190110502283,1.035,1.0406,1.035190110502283,468.81750842051514,5.092177375606067
