year,state_abbreviation,net_generation_mwh,co2e_kg_per_mwh,reported_co2e_kg_per_mwh,co2_kg_per_mwh,provider_gwp_basis,harmonized_gwp_basis,source_file,source_field,technology,use_phase_kgco2e_per_vcore_year,embodied_kgco2e_per_vcore_year,total_kgco2e_per_vcore_year,embodied_share_pct,regret_vs_lowest_pct
2012,AK,6928294.496,494.2599499802626,494.3179380358594,493.14717390357555,IPCC SAR GWP100,IPCC AR5 GWP100; CH4=28 and N2O=265,eGRID2012_Data.xlsx,"ST12!STCO2AN, STCH4AN, STN2OAN, STNGENAN; reported comparison from STC2ERTA",Air-cooled,31.236833206135465,3.5104211643502636,34.74725437048573,10.102729634177976,26.027699147237705
2012,AK,6928294.496,494.2599499802626,494.3179380358594,493.14717390357555,IPCC SAR GWP100,IPCC AR5 GWP100; CH4=28 and N2O=265,eGRID2012_Data.xlsx,"ST12!STCO2AN, STCH4AN, STN2OAN, STNGENAN; reported comparison from STC2ERTA",Cold plate,26.524145761557634,2.9474308328855217,29.471576594443157,10.000926904742713,6.892905805936733
2012,AK,6928294.496,494.2599499802626,494.3179380358594,493.14717390357555,IPCC SAR GWP100,IPCC AR5 GWP100; CH4=28 and N2O=265,eGRID2012_Data.xlsx,"ST12!STCO2AN, STCH4AN, STN2OAN, STNGENAN; reported comparison from STC2ERTA",One-phase,26.001885664870066,3.049789121460012,29.05167478633008,10.497808280901774,5.369929107403526
2012,AK,6928294.496,494.2599499802626,494.3179380358594,493.14717390357555,IPCC SAR GWP100,IPCC AR5 GWP100; CH4=28 and N2O=265,eGRID2012_Data.xlsx,"ST12!STCO2AN, STCH4AN, STN2OAN, STNGENAN; reported comparison from STC2ERTA",Two-phase,24.751795007905166,2.819329915902762,27.57112492380793,10.225661534282352,0.0
2012,AL,153105216.953,454.3730409055167,454.5841777966787,452.5257823164536,IPCC SAR GWP100,IPCC AR5 GWP100; CH4=28 and N2O=265,eGRID2012_Data.xlsx,"ST12!STCO2AN, STCH4AN, STN2OAN, STNGENAN; reported comparison from STC2ERTA",Air-cooled,28.717068489118187,3.5104211643502636,32.22748965346845,10.892629870016753,26.01422593416047
2012,AL,153105216.953,454.3730409055167,454.5841777966787,452.5257823164536,IPCC SAR GWP100,IPCC AR5 GWP100; CH4=28 and N2O=265,eGRID2012_Data.xlsx,"ST12!STCO2AN, STCH4AN, STN2OAN, STNGENAN; reported comparison from STC2ERTA",Cold plate,24.384536851846878,2.9474308328855217,27.3319676847324,10.783822324405689,6.872014794933334
2012,AL,153105216.953,454.3730409055167,454.5841777966787,452.5257823164536,IPCC SAR GWP100,IPCC AR5 GWP100; CH4=28 and N2O=265,eGRID2012_Data.xlsx,"ST12!STCO2AN, STCH4AN, STN2OAN, STNGENAN; reported comparison from STC2ERTA",One-phase,23.904405627700747,3.049789121460012,26.95419474916076,11.314710566729023,5.394867037946538
2012,AL,153105216.953,454.3730409055167,454.5841777966787,452.5257823164536,IPCC SAR GWP100,IPCC AR5 GWP100; CH4=28 and N2O=265,eGRID2012_Data.xlsx,"ST12!STCO2AN, STCH4AN, STN2OAN, STNGENAN; reported comparison from STC2ERTA",Two-phase,22.755155357138214,2.819329915902762,25.574485273040978,11.02399475806742,0.0
2012,AR,65005677.87300001,561.1093914393774,561.4238710069459,558.5029552729593,IPCC SAR GWP100,IPCC AR5 GWP100; CH4=28 and N2O=265,eGRID2012_Data.xlsx,"ST12!STCO2AN, STCH4AN, STN2OAN, STNGENAN; reported comparison from STC2ERTA",Air-cooled,35.45989455253693,3.5104211643502636,38.97031571688719,9.007936168269419,26.04637764413804
2012,AR,65005677.87300001,561.1093914393774,561.4238710069459,558.5029552729593,IPCC SAR GWP100,IPCC AR5 GWP100; CH4=28 and N2O=265,eGRID2012_Data.xlsx,"ST12!STCO2AN, STCH4AN, STN2OAN, STNGENAN; reported comparison from STC2ERTA",Cold plate,30.110075678741143,2.9474308328855217,33.05750651162666,8.916071246477348,6.921867916313462
2012,AR,65005677.87300001,561.1093914393774,561.4238710069459,558.5029552729593,IPCC SAR GWP100,IPCC AR5 GWP100; CH4=28 and N2O=265,eGRID2012_Data.xlsx,"ST12!STCO2AN, STCH4AN, STN2OAN, STNGENAN; reported comparison from STC2ERTA",One-phase,29.517208667052476,3.049789121460012,32.56699778851249,9.364661554820316,5.3353565777717105
2012,AR,65005677.87300001,561.1093914393774,561.4238710069459,558.5029552729593,IPCC SAR GWP100,IPCC AR5 GWP100; CH4=28 and N2O=265,eGRID2012_Data.xlsx,"ST12!STCO2AN, STCH4AN, STN2OAN, STNGENAN; reported comparison from STC2ERTA",Two-phase,28.098112096521113,2.819329915902762,30.917442012423876,9.118897723718026,0.0
2012,AZ,110614113.36099999,482.5465316272703,482.790167687186,480.6223546248839,IPCC SAR GWP100,IPCC AR5 GWP100; CH4=28 and N2O=265,eGRID2012_Data.xlsx,"ST12!STCO2AN, STCH4AN, STN2OAN, STNGENAN; reported comparison from STC2ERTA",Air-cooled,30.496864655897014,3.5104211643502636,34.007285820247276,10.322556121959686,26.023949309589355
2012,AZ,110614113.36099999,482.5465316272703,482.790167687186,480.6223546248839,IPCC SAR GWP100,IPCC AR5 GWP100; CH4=28 and N2O=265,eGRID2012_Data.xlsx,"ST12!STCO2AN, STCH4AN, STN2OAN, STNGENAN; reported comparison from STC2ERTA",Cold plate,25.895815944768202,2.9474308328855217,28.843246777653725,10.218790053722525,6.8870914616431245
2012,AZ,110614113.36099999,482.5465316272703,482.790167687186,480.6223546248839,IPCC SAR GWP100,IPCC AR5 GWP100; CH4=28 and N2O=265,eGRID2012_Data.xlsx,"ST12!STCO2AN, STCH4AN, STN2OAN, STNGENAN; reported comparison from STC2ERTA",One-phase,25.385927654276323,3.049789121460012,28.435716775736335,10.725205717558488,5.376869782228866
2012,AZ,110614113.36099999,482.5465316272703,482.790167687186,480.6223546248839,IPCC SAR GWP100,IPCC AR5 GWP100; CH4=28 and N2O=265,eGRID2012_Data.xlsx,"ST12!STCO2AN, STCH4AN, STN2OAN, STNGENAN; reported comparison from STC2ERTA",Two-phase,24.165450363205352,2.819329915902762,26.984780279108115,10.447852036377391,0.0
2012,CA,199189655.76309997,261.3139690543445,261.2998055293646,260.3537247134843,IPCC SAR GWP100,IPCC AR5 GWP100; CH4=28 and N2O=265,eGRID2012_Data.xlsx,"ST12!STCO2AN, STCH4AN, STN2OAN, STNGENAN; reported comparison from STC2ERTA",Air-cooled,16.521000936250633,3.5104211643502636,20.031422100600896,17.524572877154633,25.901219375735774
2012,CA,199189655.76309997,261.3139690543445,261.2998055293646,260.3537247134843,IPCC SAR GWP100,IPCC AR5 GWP100; CH4=28 and N2O=265,eGRID2012_Data.xlsx,"ST12!STCO2AN, STCH4AN, STN2OAN, STNGENAN; reported comparison from STC2ERTA",Cold plate,14.028484708042386,2.9474308328855217,16.975915540927907,17.362426349138246,6.696791465355467
2012,CA,199189655.76309997,261.3139690543445,261.2998055293646,260.3537247134843,IPCC SAR GWP100,IPCC AR5 GWP100; CH4=28 and N2O=265,eGRID2012_Data.xlsx,"ST12!STCO2AN, STCH4AN, STN2OAN, STNGENAN; reported comparison from STC2ERTA",One-phase,13.752264020452106,3.049789121460012,16.80205314191212,18.15128839137178,5.60403390027866
2012,CA,199189655.76309997,261.3139690543445,261.2998055293646,260.3537247134843,IPCC SAR GWP100,IPCC AR5 GWP100; CH4=28 and N2O=265,eGRID2012_Data.xlsx,"ST12!STCO2AN, STCH4AN, STN2OAN, STNGENAN; reported comparison from STC2ERTA",Two-phase,13.091097481007294,2.819329915902762,15.910427396910055,17.720013709061647,0.0
2012,CO,52547910.61299999,760.198501012236,760.6469914145814,756.9203756152335,IPCC SAR GWP100,IPCC AR5 GWP100; CH4=28 and N2O=265,eGRID2012_Data.xlsx,"ST12!STCO2AN, STCH4AN, STN2OAN, STNGENAN; reported comparison from STC2ERTA",Air-cooled,48.036896016952134,3.5104211643502636,51.5473171813024,6.810094795047041,26.08389218813798
2012,CO,52547910.61299999,760.198501012236,760.6469914145814,756.9203756152335,IPCC SAR GWP100,IPCC AR5 GWP100; CH4=28 and N2O=265,eGRID2012_Data.xlsx,"ST12!STCO2AN, STCH4AN, STN2OAN, STNGENAN; reported comparison from STC2ERTA",Cold plate,40.78959040048153,2.9474308328855217,43.73702123336705,6.738983931162009,6.980036427937009
