year,state_abbreviation,state,net_generation_mwh,co2e_kg_per_mwh,reported_co2e_kg_per_mwh,co2_kg_per_mwh,gwp_basis,source_field,technology,electricity_intensity_position,use_phase_kgco2e_per_vcore_year,embodied_kgco2e_per_vcore_year,total_kgco2e_per_vcore_year,embodied_share_pct,method
2023,AZ,AZ,111820945.514,312.57210241840414,312.57231653648006,311.47635639994564,"AR5 GWP100 (CH4=28; N2O=265), reconstructed","eGRID2023 ST23!STCO2AN, STCH4AN, STN2OAN and STNGENAN",Cold plate,0.5907141344996626,16.778067500616363,2.9474308328855217,19.725498333501886,14.942237620834097,Numerical intensity-index transfer between Microsoft renewable and grid endpoints; eGRID and GaBi boundaries differ
2023,AZ,AZ,111820945.514,312.57210241840414,312.57231653648006,311.47635639994564,"AR5 GWP100 (CH4=28; N2O=265), reconstructed","eGRID2023 ST23!STCO2AN, STCH4AN, STN2OAN and STNGENAN",One-phase,0.5907141344996626,16.44770756239727,3.049789121460012,19.497496683857282,15.641952251157699,Numerical intensity-index transfer between Microsoft renewable and grid endpoints; eGRID and GaBi boundaries differ
2023,AZ,AZ,111820945.514,312.57210241840414,312.57231653648006,311.47635639994564,"AR5 GWP100 (CH4=28; N2O=265), reconstructed","eGRID2023 ST23!STCO2AN, STCH4AN, STN2OAN and STNGENAN",Two-phase,0.5907141344996626,15.656952391128174,2.819329915902762,18.476282307030935,15.259184012521276,Numerical intensity-index transfer between Microsoft renewable and grid endpoints; eGRID and GaBi boundaries differ
2023,CA,CA,216080235.825,179.0640050031462,179.06420631253002,178.48236643090792,"AR5 GWP100 (CH4=28; N2O=265), reconstructed","eGRID2023 ST23!STCO2AN, STCH4AN, STN2OAN and STNGENAN",Air-cooled,0.33335426756295783,11.325046619415188,3.5104211643502636,14.835467783765452,23.662355751206846,Numerical intensity-index transfer between Microsoft renewable and grid endpoints; eGRID and GaBi boundaries differ
2023,CA,CA,216080235.825,179.0640050031462,179.06420631253002,178.48236643090792,"AR5 GWP100 (CH4=28; N2O=265), reconstructed","eGRID2023 ST23!STCO2AN, STCH4AN, STN2OAN and STNGENAN",Cold plate,0.33335426756295783,9.616441759877333,2.9474308328855217,12.563872592762854,23.45957276408012,Numerical intensity-index transfer between Microsoft renewable and grid endpoints; eGRID and GaBi boundaries differ
2023,CA,CA,216080235.825,179.0640050031462,179.06420631253002,178.48236643090792,"AR5 GWP100 (CH4=28; N2O=265), reconstructed","eGRID2023 ST23!STCO2AN, STCH4AN, STN2OAN and STNGENAN",One-phase,0.33335426756295783,9.427094142485526,3.049789121460012,12.476883263945538,24.44351731872807,Numerical intensity-index transfer between Microsoft renewable and grid endpoints; eGRID and GaBi boundaries differ
2023,CA,CA,216080235.825,179.0640050031462,179.06420631253002,178.48236643090792,"AR5 GWP100 (CH4=28; N2O=265), reconstructed","eGRID2023 ST23!STCO2AN, STCH4AN, STN2OAN and STNGENAN",Two-phase,0.33335426756295783,8.973868462558338,2.819329915902762,11.7931983784611,23.90640626424074,Numerical intensity-index transfer between Microsoft renewable and grid endpoints; eGRID and GaBi boundaries differ
2023,CO,CO,57471488.483,494.904813803869,494.90465587486,492.15723980774715,"AR5 GWP100 (CH4=28; N2O=265), reconstructed","eGRID2023 ST23!STCO2AN, STCH4AN, STN2OAN and STNGENAN",Air-cooled,0.9421918594380826,31.277571010786087,3.5104211643502636,34.78799217513635,10.090899028255011,Numerical intensity-index transfer between Microsoft renewable and grid endpoints; eGRID and GaBi boundaries differ
2023,CO,CO,57471488.483,494.904813803869,494.90465587486,492.15723980774715,"AR5 GWP100 (CH4=28; N2O=265), reconstructed","eGRID2023 ST23!STCO2AN, STCH4AN, STN2OAN and STNGENAN",Cold plate,0.9421918594380826,26.55873747133271,2.9474308328855217,29.50616830421823,9.989202266104318,Numerical intensity-index transfer between Microsoft renewable and grid endpoints; eGRID and GaBi boundaries differ
2023,CO,CO,57471488.483,494.904813803869,494.90465587486,492.15723980774715,"AR5 GWP100 (CH4=28; N2O=265), reconstructed","eGRID2023 ST23!STCO2AN, STCH4AN, STN2OAN and STNGENAN",One-phase,0.9421918594380826,26.03579626431442,3.049789121460012,29.085585385774433,10.485568988931691,Numerical intensity-index transfer between Microsoft renewable and grid endpoints; eGRID and GaBi boundaries differ
2023,CO,CO,57471488.483,494.904813803869,494.90465587486,492.15723980774715,"AR5 GWP100 (CH4=28; N2O=265), reconstructed","eGRID2023 ST23!STCO2AN, STCH4AN, STN2OAN and STNGENAN",Two-phase,0.9421918594380826,24.78407529006854,2.819329915902762,27.603405205971303,10.213703327054992,Numerical intensity-index transfer between Microsoft renewable and grid endpoints; eGRID and GaBi boundaries differ
2023,CT,CT,40652074.995,245.24549081873042,245.24560105738001,244.1531856354547,"AR5 GWP100 (CH4=28; N2O=265), reconstructed","eGRID2023 ST23!STCO2AN, STCH4AN, STN2OAN and STNGENAN",Air-cooled,0.4609304873797614,15.505911387988405,3.5104211643502636,19.016332552338667,18.460032473078225,Numerical intensity-index transfer between Microsoft renewable and grid endpoints; eGRID and GaBi boundaries differ
