year,state_abbreviation,state,net_generation_mwh,co2e_kg_per_mwh,reported_co2e_kg_per_mwh,co2_kg_per_mwh,gwp_basis,source_field,lowest_ghg_technology,cold_plate_vs_air_reduction_pct,one_phase_vs_air_reduction_pct,two_phase_vs_air_reduction_pct,cold_plate_minus_one_phase_kgco2e
2023,AK,AK,6678905.161,369.43135553196305,369.43148089309,367.33000651986026,"AR5 GWP100 (CH4=28; N2O=265), reconstructed","eGRID2023 ST23!STCO2AN, STCH4AN, STN2OAN and STNGENAN",Two-phase,15.211203591522393,16.283582028748366,20.620509861001757,0.2880568477732304
2023,AL,AL,138596256.477,323.8541379153855,323.85406596312004,322.49853553678656,"AR5 GWP100 (CH4=28; N2O=265), reconstructed","eGRID2023 ST23!STCO2AN, STCH4AN, STN2OAN and STNGENAN",Two-phase,15.226120319012736,16.226517597129842,20.603658699344074,0.23991782581582655
2023,AR,AR,63195646.552,452.87288650888115,452.87297250118,450.6044599161595,"AR5 GWP100 (CH4=28; N2O=265), reconstructed","eGRID2023 ST23!STCO2AN, STCH4AN, STN2OAN and STNGENAN",Two-phase,15.190821416540313,16.361554709502546,20.64353524145335,0.3761884604936192
2023,AZ,AZ,111820945.514,312.57210241840414,312.57231653648006,311.47635639994564,"AR5 GWP100 (CH4=28; N2O=265), reconstructed","eGRID2023 ST23!STCO2AN, STCH4AN, STN2OAN and STNGENAN",Two-phase,15.230382732508152,16.210211594114345,20.598843526652246,0.2280016496446038
2023,CA,CA,216080235.825,179.0640050031462,179.06420631253002,178.48236643090792,"AR5 GWP100 (CH4=28; N2O=265), reconstructed","eGRID2023 ST23!STCO2AN, STCH4AN, STN2OAN and STNGENAN",Two-phase,15.311921566021802,15.898282104733685,20.506730557114807,0.08698932881731558
2023,CO,CO,57471488.483,494.904813803869,494.90465587486,492.15723980774715,"AR5 GWP100 (CH4=28; N2O=265), reconstructed","eGRID2023 ST23!STCO2AN, STCH4AN, STN2OAN and STNGENAN",Two-phase,15.182893695983813,16.391882465230456,20.652491046321476,0.4205829184437988
2023,CT,CT,40652074.995,245.24549081873042,245.24560105738001,244.1531856354547,"AR5 GWP100 (CH4=28; N2O=265), reconstructed","eGRID2023 ST23!STCO2AN, STCH4AN, STN2OAN and STNGENAN",Two-phase,15.262461533430693,16.087493086128347,20.56260467597404,0.15689074372270895
2023,DC,DC,171869.499,179.17415860658173,179.17397566607002,178.7601577372334,"AR5 GWP100 (CH4=28; N2O=265), reconstructed","eGRID2023 ST23!STCO2AN, STCH4AN, STN2OAN and STNGENAN",Two-phase,15.311816093713492,15.898685592518024,20.506849707305008,0.08710567393471713
2023,DE,DE,4772059.259,319.40645322612716,319.40659277527004,318.96362574015023,"AR5 GWP100 (CH4=28; N2O=265), reconstructed","eGRID2023 ST23!STCO2AN, STCH4AN, STN2OAN and STNGENAN",Two-phase,15.227770068569724,16.220206425940063,20.601795006620762,0.23522014565648064
2023,FL,FL,258099011.95,357.94455534704406,357.94470771521003,356.81601239129026,"AR5 GWP100 (CH4=28; N2O=265), reconstructed","eGRID2023 ST23!STCO2AN, STCH4AN, STN2OAN and STNGENAN",Two-phase,15.214653268056145,16.270385177710246,20.616612822795854,0.27592439750007003
2023,GA,GA,129220273.258,325.4274995098813,325.42757789465,323.7884682077497,"AR5 GWP100 (CH4=28; N2O=265), reconstructed","eGRID2023 ST23!STCO2AN, STCH4AN, STN2OAN and STNGENAN",Two-phase,15.225545940466933,16.22871490114779,20.604307564568302,0.2415796229220426
2023,HI,HI,9158617.733,632.6161474753626,632.6162065916001,628.2849076716288,"AR5 GWP100 (CH4=28; N2O=265), reconstructed","eGRID2023 ST23!STCO2AN, STCH4AN, STN2OAN and STNGENAN",Two-phase,15.163701668788065,16.465302196484664,20.674171937993158,0.5660347310393945
2023,IA,IA,69819809.048,287.6484249519214,287.64832298972,285.848053121799,"AR5 GWP100 (CH4=28; N2O=265), reconstructed","eGRID2023 ST23!STCO2AN, STCH4AN, STN2OAN and STNGENAN",Two-phase,15.24079175077695,16.17039155237927,20.587084643904074,0.20167706206421343
2023,ID,ID,17842445.937,142.3736047555775,142.3735730956,142.10707960286683,"AR5 GWP100 (CH4=28; N2O=265), reconstructed","eGRID2023 ST23!STCO2AN, STCH4AN, STN2OAN and STNGENAN",Two-phase,15.353577301417609,15.738926718939329,20.459672813948394,0.048236634477740736
2023,IL,IL,177690286.567,215.2004741174664,215.20054965332,213.9617723005444,"AR5 GWP100 (CH4=28; N2O=265), reconstructed","eGRID2023 ST23!STCO2AN, STCH4AN, STN2OAN and STNGENAN",Two-phase,15.281920992745423,16.01305028450731,20.540621670995527,0.12515695666137283
2023,IN,IN,90031870.696,664.740405019609,664.74052541974,660.9703426556702,"AR5 GWP100 (CH4=28; N2O=265), reconstructed","eGRID2023 ST23!STCO2AN, STCH4AN, STN2OAN and STNGENAN",Two-phase,15.160279981686509,16.478391973029318,20.67803735703546,0.599964628917256
2023,KS,KS,58456598.044,332.6121161818401,332.61202744308,330.28767826718337,"AR5 GWP100 (CH4=28; N2O=265), reconstructed","eGRID2023 ST23!STCO2AN, STCH4AN, STN2OAN and STNGENAN",Two-phase,15.222982235704674,16.238522438034884,20.607203736226566,0.24916807254255957
2023,KY,KY,62417958.511,792.4276370737498,792.42768475948,786.9867272081474,"AR5 GWP100 (CH4=28; N2O=265), reconstructed","eGRID2023 ST23!STCO2AN, STCH4AN, STN2OAN and STNGENAN",Two-phase,15.14924198104286,16.520618207526272,20.690506789982056,0.7348289051713337
