month,mean_temperature_c,Air-cooled_mean_pue,Cold plate_mean_pue,One-phase_mean_pue,Two-phase_mean_pue
1,3.547567204301075,1.0825327822580646,1.0505022876344086,1.0401534650537634,1.0351534650537633
2,3.8685714285714283,1.0821923586309525,1.0503582470238095,1.0400845491071429,1.0350845491071428
3,10.230215053763441,1.0822419422043013,1.0501993548387099,1.0400220295698925,1.0350220295698924
4,13.955819444444446,1.0860045833333334,1.0509022083333333,1.0400293472222222,1.0350043472222221
5,19.54293010752688,1.0927512096774195,1.0529256048387097,1.040433306451613,1.0350447311827957
6,24.209208333333336,1.103111388888889,1.0572165208333335,1.0416757916666666,1.0354593555555556
7,25.52706989247312,1.1063546370967743,1.0586272983870968,1.042141747311828,1.035657193548387
8,24.760833333333334,1.104450806451613,1.0577896370967743,1.0419312903225806,1.0356059677419354
9,21.259333333333334,1.0964156944444445,1.0542520625,1.0406361527777777,1.0350877777777778
10,14.917271505376345,1.0860204637096775,1.0509983534946237,1.0400887096774194,1.035
11,10.923666666666666,1.0837173194444445,1.0503610944444444,1.0400097986111112,1.035009798611111
12,4.910766129032258,1.0823697715053764,1.0504319543010754,1.0401354704301076,1.0351354704301075
