year,states_included,net_generation_mwh,generation_weighted_co2e_kg_per_mwh,reconstructed_state_weighted_co2e_kg_per_mwh,reconstruction_minus_official_kgco2e_per_mwh,reconstruction_minus_official_pct,state_generation_coverage_of_official_pct,official_source_file,official_source_sheet_field,minimum_state_kgco2e_per_mwh,median_state_kgco2e_per_mwh,maximum_state_kgco2e_per_mwh
2012,51,4045517914.744398,517.9791765662977,517.9791765662974,-3.410605131648481e-13,-6.661338147750939e-14,99.9999999999999,eGRID2012_Data.xlsx,US12!USC2ERTA,3.37294715150058,517.6417385146392,956.8340785430383
2014,51,4079690473.912,512.63784958001,512.6379294675622,7.98875522605158e-05,1.5583623480530662e-05,100.0,eGRID2014_Data_v2.xlsx,US14!USC2ERTA,10.418563146530001,498.69079138725,945.41305135123
2016,51,4075322641.0889993,455.48248940579003,455.4824837039045,-5.7018855272872315e-06,-1.2518341918621445e-06,99.99999999999997,egrid2016_data.xlsx,US16!USC2ERTA,30.311310125250003,427.75075908873004,925.76705862179
2018,51,4168370117.6659994,432.21773674849,432.21776594710957,2.9198619586168206e-05,6.755534798230656e-06,99.99999999999999,egrid2018_data.xlsx,US18!USC2ERTA,26.08473642159,408.40821965482,936.1048823264599
2019,51,4122019669.568,403.34068569718005,402.0332961785574,-1.3073895186226423,-0.3241402528888937,99.56122289362695,egrid2019_data.xlsx,US19!USC2ERTA,23.25250566331,379.81919975846,938.4789847910401
2020,51,4003333575.4089994,373.13460900177,371.51283229492725,-1.621776706842752,-0.43463583053349186,99.54704329254012,egrid2020_data.xlsx,US20!USC2ERTA,13.7483847347,345.51854473906,902.69644349885
2021,51,4101565672.356,388.73727934503,387.2847442714062,-1.4525350736237783,-0.373654689375591,99.5490705128478,egrid2021_data.xlsx,US21!USC2ERTA,20.336360316580002,375.90923352906003,888.75754996875
2022,51,4222378512.6889997,375.3567580224,373.8831404858166,-1.4736175365833901,-0.39259118294480144,99.58109831817949,egrid2022_data.xlsx,US22!USC2ERTA,19.32711729333,358.9593938469,895.5392094926201
2023,51,4173469784.235,349.6729824,348.19382629383307,-1.479156106166954,-0.4230112649866946,99.58240814876572,egrid2023_data_metric_rev2.xlsx,US23!USC2ERTA,23.6956104,325.433052,893.0789784
